id,name,video_id,category_id,timestamp,watched_percentage,liked,watch_time_secs
1,User_19,v72905,22,1745191483,0.4474672582724661,1,268
2,User_100,v66330,22,1744490405,0.4369985122287739,0,262
3,User_73,v52489,27,1744540903,0.20203650530982759,1,121
4,User_2,v89912,22,1744021012,0.4959859929105451,1,297
5,User_81,v31209,22,1743754598,1.1049551279398613,1,662
6,User_80,v69658,22,1744387341,0.03133614111582629,0,18
7,User_24,v89928,24,1745863265,0.07509034959309191,1,45
8,User_16,v45215,22,1745214551,0.8978656597137026,1,538
9,User_84,v83296,27,1744613766,0.28222541481893854,0,169
10,User_19,v12737,28,1744162809,1.0493817915398354,1,629
11,User_100,v43069,23,1744489127,1.0093969632083832,1,605
12,User_62,v65986,27,1744808507,0.979394508645925,1,587
13,User_55,v13741,27,1745329286,0.6527927546803358,1,391
14,User_2,v96833,25,1744513029,0.15310841646854886,0,91
15,User_22,v60709,24,1744013340,0.681425572573956,0,408
16,User_37,v62488,26,1745257828,1.02107860565886,1,612
17,User_56,v52424,22,1745250645,0.3461948068331784,1,207
18,User_84,v94511,28,1744389962,0.9138504269710847,0,548
19,User_74,v36058,25,1745846882,0.5192211300914429,1,311
20,User_15,v44300,24,1745940926,0.2562741823493651,0,153
21,User_18,v80456,24,1743735920,0.0859804310488047,1,51
22,User_26,v16417,23,1745621596,0.6104333685526857,1,366
23,User_74,v24228,22,1743723397,0.4080900843751112,1,244
24,User_16,v66718,27,1745179278,1.0415275349069615,1,624
25,User_80,v38526,23,1744359959,0.3183479303676588,1,191
26,User_38,v63437,28,1745204187,0.7217015344288692,0,433
27,User_89,v56088,22,1744319033,0.9734614964695922,1,584
28,User_49,v39416,23,1744390155,1.2418784478852716,1,745
29,User_52,v74321,27,1743698046,0.5888829827417842,1,353
30,User_26,v15643,28,1745150836,0.6724980379151356,0,403
31,User_72,v52466,24,1745290476,0.5559655125959997,0,333
32,User_28,v75544,24,1746002428,0.5280167973712924,0,316
33,User_43,v14125,22,1744922381,0.9376881360656416,1,562
34,User_86,v46129,24,1745617255,0.2465795566329669,0,147
35,User_85,v98642,27,1745257641,0.8002256052844059,1,480
36,User_99,v95184,25,1745282772,0.21450529899577805,0,128
37,User_32,v87641,22,1743644927,0.02603700707848101,0,15
38,User_15,v78410,28,1745116554,0.21680905275350587,1,130
